Date,Website,Disallowed Bot
2026-06-15,yahoo.com,ZumBot
2026-06-15,globo.com,CCBot
2026-06-15,globo.com,GPTBot
2026-06-15,globo.com,Google-Extended
2026-06-15,nytimes.com,AliyunSecBot
2026-06-15,nytimes.com,anthropic-ai
2026-06-15,nytimes.com,Applebot-Extended
2026-06-15,nytimes.com,archive.org_bot
2026-06-15,nytimes.com,AudigentAdBot
2026-06-15,nytimes.com,AwarioSmartBot
2026-06-15,nytimes.com,BLEXBot
2026-06-15,nytimes.com,Bytespider
2026-06-15,nytimes.com,CCBot
2026-06-15,nytimes.com,ChatGPT-User
2026-06-15,nytimes.com,ClaudeBot
2026-06-15,nytimes.com,Claude-SearchBot
2026-06-15,nytimes.com,Claude-User
2026-06-15,nytimes.com,Claude-Web
2026-06-15,nytimes.com,cohere-ai
2026-06-15,nytimes.com,DataForSeoBot
2026-06-15,nytimes.com,Diffbot
2026-06-15,nytimes.com,DuckAssistBot
2026-06-15,nytimes.com,EchoboxBot
2026-06-15,nytimes.com,FacebookBot
2026-06-15,nytimes.com,FriendlyCrawler
2026-06-15,nytimes.com,Google-CloudVertexBot
2026-06-15,nytimes.com,Google-Extended
2026-06-15,nytimes.com,GPTBot
2026-06-15,nytimes.com,ImagesiftBot
2026-06-15,nytimes.com,Jetslide
2026-06-15,nytimes.com,magpie-crawler
2026-06-15,nytimes.com,meta-externalagent
2026-06-15,nytimes.com,meta-externalfetcher
2026-06-15,nytimes.com,meta-webindexer/1.1
2026-06-15,nytimes.com,MyCentralAIScraperBot
2026-06-15,nytimes.com,NewsNow
2026-06-15,nytimes.com,news-please
2026-06-15,nytimes.com,OAI-SearchBot
2026-06-15,nytimes.com,omgili
2026-06-15,nytimes.com,omgilibot
2026-06-15,nytimes.com,peer39_crawler/1.0
2026-06-15,nytimes.com,PerplexityBot
2026-06-15,nytimes.com,Perplexity-User
2026-06-15,nytimes.com,Poseidon Research Crawler
2026-06-15,nytimes.com,quillbot.com
2026-06-15,nytimes.com,Quora-Bot
2026-06-15,nytimes.com,Scrapy
2026-06-15,nytimes.com,SeekrBot
2026-06-15,nytimes.com,SeznamHomepageCrawler
2026-06-15,nytimes.com,TaraGroup Intelligent Bot
2026-06-15,nytimes.com,Timpibot
2026-06-15,nytimes.com,TurnitinBot
2026-06-15,nytimes.com,ViennaTinyBot
2026-06-15,nytimes.com,YouBot
2026-06-15,bbc.co.uk,Amazonbot
2026-06-15,bbc.co.uk,magpie-crawler
2026-06-15,bbc.co.uk,CCBot
2026-06-15,bbc.co.uk,ClaudeBot
2026-06-15,bbc.co.uk,Claude-Web
2026-06-15,bbc.co.uk,anthropic-ai
2026-06-15,bbc.co.uk,cohere-ai
2026-06-15,bbc.co.uk,Bytespider
2026-06-15,bbc.co.uk,PetalBot
2026-06-15,bbc.co.uk,Scrapy
2026-06-15,bbc.co.uk,Applebot-Extended
2026-06-15,bbc.co.uk,GPTBot
2026-06-15,bbc.co.uk,ChatGPT-User
2026-06-15,bbc.co.uk,Google-CloudVertexBot
2026-06-15,bbc.co.uk,Google-Extended
2026-06-15,bbc.co.uk,Perplexity-User
2026-06-15,bbc.co.uk,meta-externalagent
2026-06-15,bbc.co.uk,OAI-SearchBot
2026-06-15,bbc.co.uk,YandexAdditional
2026-06-15,bbc.co.uk,YandexAdditionalBot
2026-06-15,bbc.co.uk,TurnitinBot
2026-06-15,bbc.co.uk,Brightbot
2026-06-15,bbc.co.uk,ApifyBot
2026-06-15,bbc.co.uk,ApifyWebsiteContentCrawler
2026-06-15,bbc.co.uk,Diffbot
2026-06-15,bbc.co.uk,Diffbot-User
2026-06-15,bbc.co.uk,ExaBot
2026-06-15,bbc.co.uk,TavilyBot
2026-06-15,bbc.co.uk,ShapBot
2026-06-15,bbc.co.uk,YouBot
2026-06-15,bbc.co.uk,Amzn-SearchBot
2026-06-15,bbc.co.uk,Amzn-User
2026-06-15,bbc.co.uk,ProRataInc
2026-06-15,bbc.co.uk,CloudflareBrowserRenderingCrawler
2026-06-15,bbc.co.uk,AhrefsBot
2026-06-15,bbc.com,Amazonbot
2026-06-15,bbc.com,magpie-crawler
2026-06-15,bbc.com,CCBot
2026-06-15,bbc.com,Claude-Web
2026-06-15,bbc.com,ClaudeBot
2026-06-15,bbc.com,anthropic-ai
2026-06-15,bbc.com,cohere-ai
2026-06-15,bbc.com,Bytespider
2026-06-15,bbc.com,PetalBot
2026-06-15,bbc.com,Scrapy
2026-06-15,bbc.com,Applebot-Extended
2026-06-15,bbc.com,GPTBot
2026-06-15,bbc.com,ChatGPT-User
2026-06-15,bbc.com,Google-Extended
2026-06-15,bbc.com,Perplexity-User
2026-06-15,bbc.com,Google-CloudVertexBot
2026-06-15,bbc.com,meta-externalagent
2026-06-15,bbc.com,OAI-SearchBot
2026-06-15,bbc.com,YandexAdditional
2026-06-15,bbc.com,YandexAdditionalBot
2026-06-15,bbc.com,TurnitinBot
2026-06-15,bbc.com,Brightbot
2026-06-15,bbc.com,ApifyBot
2026-06-15,bbc.com,ApifyWebsiteContentCrawler
2026-06-15,bbc.com,Diffbot
2026-06-15,bbc.com,Diffbot-User
2026-06-15,bbc.com,ExaBot
2026-06-15,bbc.com,TavilyBot
2026-06-15,bbc.com,ShapBot
2026-06-15,bbc.com,YouBot
2026-06-15,bbc.com,FirecrawlAgent
2026-06-15,bbc.com,Amzn-SearchBot
2026-06-15,bbc.com,Amzn-User
2026-06-15,bbc.com,ProRataInc
2026-06-15,bbc.com,CloudflareBrowserRenderingCrawler
2026-06-15,bbc.com,AhrefsBot
2026-06-15,uol.com.br,Google-Extended
2026-06-15,uol.com.br,AI2Bot
2026-06-15,uol.com.br,Amazonbot
2026-06-15,uol.com.br,Anthropic-ai
2026-06-15,uol.com.br,Applebot
2026-06-15,uol.com.br,Applebot-Extended
2026-06-15,uol.com.br,AwarioRssBot
2026-06-15,uol.com.br,AwarioSmartBot
2026-06-15,uol.com.br,Bytespider
2026-06-15,uol.com.br,CCBot
2026-06-15,uol.com.br,Claude-SearchBot
2026-06-15,uol.com.br,Claude-User
2026-06-15,uol.com.br,Claude-Web
2026-06-15,uol.com.br,ClaudeBot
2026-06-15,uol.com.br,Cohere-ai
2026-06-15,uol.com.br,cohere-training-data-crawler
2026-06-15,uol.com.br,Cotoyogi
2026-06-15,uol.com.br,DataForSeoBot
2026-06-15,uol.com.br,Datenbank Crawler
2026-06-15,uol.com.br,DeepSeek
2026-06-15,uol.com.br,Devin
2026-06-15,uol.com.br,Diffbot
2026-06-15,uol.com.br,DuckAssistBot
2026-06-15,uol.com.br,FacebookBot
2026-06-15,uol.com.br,Factset_spyderbot
2026-06-15,uol.com.br,Gemini-Deep-Research
2026-06-15,uol.com.br,GoogleAgent-Mariner
2026-06-15,uol.com.br,ICC-Crawler
2026-06-15,uol.com.br,ImagesiftBot
2026-06-15,uol.com.br,Kangaroo Bot
2026-06-15,uol.com.br,Meta-ExternalAgent
2026-06-15,uol.com.br,Meta-ExternalFetcher
2026-06-15,uol.com.br,MistralAI-User
2026-06-15,uol.com.br,netEstate Imprint Crawler
2026-06-15,uol.com.br,NovaAct
