,Rank,Website,Category,Search traffic,"Estimated monthly organic search visits, with change from the previous month"
0,1,yahoo.com,News,322.2M,+13.4M
1,2,globo.com,News,220M,+4M
2,3,nytimes.com,News,173.3M,-9.8M
3,4,bbc.co.uk,News,131.5M,-20.5M
4,5,bbc.com,News,90.3M,+5.7M
5,6,uol.com.br,News,81.1M,-16.4M
6,7,hurriyet.com.tr,News,51.4M,-3.7M
7,8,interia.pl,News,41.4M,-3.9M
8,9,detik.com,News,37.8M,-6M
9,10,cnn.com,News,37M,+2.2M
10,11,conectate.com.do,News,32.5M,-16M
11,12,wp.pl,News,31.6M,-99.1K
12,13,foxnews.com,News,30.9M,-1.2M
13,14,msn.com,News,28.9M,+1.7M
14,15,theguardian.com,News,27M,-1.2M
15,16,ndtv.com,News,22.9M,-2.7M
16,17,milliyet.com.tr,News,22.4M,-1M
17,18,bild.de,News,22.3M,-11.2K
18,19,ouest-france.fr,News,20.8M,-592K
19,20,corriere.it,News,19.8M,+3M
20,21,sabah.com.tr,News,19.8M,+21.2K
21,22,elmundo.es,News,18M,+3.3M
22,23,terra.com.br,News,18M,-4.9M
23,24,cnnbrasil.com.br,News,17.3M,+755.3K
24,25,aajtak.in,News,17M,+3.9M
25,26,bhaskar.com,News,16.9M,+6.5M
26,27,infobae.com,News,16.8M,+366.2K
27,28,haberler.com,News,16.7M,+1.7M
28,29,abplive.com,News,16.4M,+4.2M
29,30,vnexpress.net,News,16.4M,+1.2M
30,31,lefigaro.fr,News,16M,+813.4K
31,32,usatoday.com,News,16M,-6M
32,33,ukr.net,News,15.7M,+1.8M
33,34,usnews.com,News,15.3M,+192.3K
34,35,24h.com.vn,News,15.2M,-3.4M
35,36,okdiario.com,News,14.6M,+6.2M
36,37,hindustantimes.com,News,14.6M,+2.2M
37,38,news18.com,News,14.6M,+3.1M
38,39,kumparan.com,News,14M,-2.2M
39,40,kompas.com,News,13.8M,+1.2M
40,41,thairath.co.th,News,12.2M,-1M
41,42,sozcu.com.tr,News,11.8M,-278K
42,43,elpais.com,News,11.5M,+1.7M
43,44,indianexpress.com,News,11.4M,+3M
44,45,abril.com.br,News,11.2M,-1.3M
45,46,bfmtv.com,News,11.1M,-1.2M
46,47,libero.it,News,11M,+665K
47,48,rbc.ru,News,11M,+1M
48,49,n-tv.de,News,10.9M,-625.8K
49,50,sondakika.com,News,10.9M,-901K
50,51,aljazeera.com,News,10.9M,-1.7M
51,52,baomoi.com,News,10.8M,-448K
52,53,thesun.co.uk,News,10.8M,+230.3K
53,54,iltalehti.fi,News,10.8M,-146K
54,55,aol.com,News,10.7M,-2.7M
55,56,thehindu.com,News,10.6M,+2.5M
56,57,ynet.co.il,News,10.6M,+3.1M
57,58,spiegel.de,News,10M,+301.5K
58,59,nypost.com,News,9.9M,-1.3M
59,60,cbsnews.com,News,9.7M,+1.7M
60,61,nbcnews.com,News,9.6M,+2M
61,62,asahi.com,News,9.4M,+1M
62,63,haber7.com,News,9.2M,-1.7M
63,64,t-online.de,News,9.1M,-278.5K
64,65,youm7.com,News,9M,-415K
65,66,aftonbladet.se,News,9M,-282K
66,67,repubblica.it,News,9M,+291.1K
67,68,tagesschau.de,News,9M,-526.8K
68,69,kapook.com,News,9M,+1.3M
69,70,haberturk.com,News,8.8M,+117K
70,71,elconfidencial.com,News,8.7M,+3.2M
71,72,jagran.com,News,8.6M,+2.2M
72,73,ndr.de,News,8.5M,-1.4M
73,74,ensonhaber.com,News,8.4M,-19.1K
74,75,franceinfo.fr,News,8.2M,+785K
75,76,tribunnews.com,News,8.2M,-2.5M
76,77,tvn24.pl,News,8.2M,+1.8M
77,78,clarin.com,News,8.2M,+749K
78,79,reuters.com,News,8M,+212.2K
79,80,lemonde.fr,News,8M,+595.6K
80,81,clicrbs.com.br,News,7.9M,+2.8M
81,82,abc.net.au,News,7.9M,+305.8K
82,83,cnnturk.com,News,7.7M,+831.1K
83,84,liputan6.com,News,7.6M,-3.5M
84,85,20minutes.fr,News,7.4M,-799K
85,86,indiatoday.in,News,7.4M,+1.2M
86,87,livehindustan.com,News,7.4M,+476K
87,88,protothema.gr,News,7.4M,-259K
88,89,expressen.se,News,7.3M,-253.8K
89,90,za.com,News,7.3M,+1.4M
90,91,lavanguardia.com,News,7.1M,+1.8M
91,92,ntv.com.tr,News,7M,+637.8K
92,93,ad.nl,News,7M,-278.7K
93,94,aktuality.sk,News,7M,+77.5K
94,95,estadao.com.br,News,6.9M,-4.9M
95,96,amarujala.com,News,6.9M,+998.4K
96,97,sindonews.com,News,6.8M,+290.8K
97,98,today.com,News,6.8M,+476K
98,99,vietnamnet.vn,News,6.7M,-423.1K
99,100,cnnindonesia.com,News,6.7M,-191.6K
