Date,Website,Disallowed Bot
2025-04-10,globo.com,CCBot
2025-04-10,globo.com,GPTBot
2025-04-10,globo.com,Google-Extended
2025-04-10,nytimes.com,Amazonbot
2025-04-10,nytimes.com,anthropic-ai
2025-04-10,nytimes.com,Applebot-Extended
2025-04-10,nytimes.com,AwarioSmartBot
2025-04-10,nytimes.com,Bytespider
2025-04-10,nytimes.com,CCBot
2025-04-10,nytimes.com,ChatGPT-User
2025-04-10,nytimes.com,ClaudeBot
2025-04-10,nytimes.com,Claude-Web
2025-04-10,nytimes.com,cohere-ai
2025-04-10,nytimes.com,DataForSeoBot
2025-04-10,nytimes.com,Diffbot
2025-04-10,nytimes.com,DuckAssistBot
2025-04-10,nytimes.com,FacebookBot
2025-04-10,nytimes.com,FriendlyCrawler
2025-04-10,nytimes.com,Google-CloudVertexBot
2025-04-10,nytimes.com,Google-Extended
2025-04-10,nytimes.com,GPTBot
2025-04-10,nytimes.com,ImagesiftBot
2025-04-10,nytimes.com,magpie-crawler
2025-04-10,nytimes.com,meta-externalagent
2025-04-10,nytimes.com,meta-externalfetcher
2025-04-10,nytimes.com,NewsNow
2025-04-10,nytimes.com,news-please
2025-04-10,nytimes.com,OAI-SearchBot
2025-04-10,nytimes.com,omgili
2025-04-10,nytimes.com,omgilibot
2025-04-10,nytimes.com,peer39_crawler/1.0
2025-04-10,nytimes.com,PerplexityBot
2025-04-10,nytimes.com,Quora-Bot
2025-04-10,nytimes.com,Scrapy
2025-04-10,nytimes.com,Timpibot
2025-04-10,nytimes.com,TurnitinBot
2025-04-10,nytimes.com,YouBot
2025-04-10,detik.com,ChatGPT-User
2025-04-10,detik.com,CCBot
2025-04-10,detik.com,GPTBot
2025-04-10,bbc.co.uk,magpie-crawler
2025-04-10,bbc.co.uk,CCBot
2025-04-10,bbc.co.uk,ClaudeBot
2025-04-10,bbc.co.uk,Claude-Web
2025-04-10,bbc.co.uk,anthropic-ai
2025-04-10,bbc.co.uk,cohere-ai
2025-04-10,bbc.co.uk,Bytespider
2025-04-10,bbc.co.uk,PetalBot
