"Rank


Rank by estimated organic search traffic",,Website,Category,"Search traffic


Estimated monthly organic search visits, with change from the previous month",
1,,,yahoo.com,News,292.5M +34.2M,+34.2M
2,,,globo.com,News,203.9M +31.8M,+31.8M
3,,,nytimes.com,News,202.5M +51M,+51M
4,,,bbc.co.uk,News,129.1M -10M,-10M
5,,,bbc.com,News,90.4M -4.7M,-4.7M
6,,,uol.com.br,News,77.5M +10.8M,+10.8M
7,,,detik.com,News,59M -4M,-4M
8,,,hurriyet.com.tr,News,56.7M -69.3K,-69.3K
9,,,conectate.com.do,News,48.9M +2.3M,+2.3M
10,,,interia.pl,News,39.8M -4M,-4M
11,,,cnn.com,News,34.2M -3.4M,-3.4M
12,↑2,,wp.pl,News,33.2M +1.9M,+1.9M
13,↓1,,theguardian.com,News,32M -1.4M,-1.4M
14,↓1,,foxnews.com,News,31.3M +460,+460
15,↑4,,milliyet.com.tr,News,25.1M +378.5K,+378.5K
16,↑2,,sabah.com.tr,News,22.2M -2.7M,-2.7M
17,↑20,,baomoi.com,News,22.2M +6.3M,+6.3M
18,↓2,,msn.com,News,22M -6.2M,-6.2M
19,↑2,,bild.de,News,21.8M +428.9K,+428.9K
20,↓3,,ouest-france.fr,News,21.3M -3.7M,-3.7M
21,↓1,,usatoday.com,News,21.3M -3.3M,-3.3M
22,,,24h.com.vn,News,20M -672.9K,-672.9K
23,↑7,,terra.com.br,News,18.4M +774.3K,+774.3K
24,↑1,,kumparan.com,News,18.1M -387K,-387K
25,↑3,,dailymail.co.uk,News,17.4M -395K,-395K
26,↑5,,haberler.com,News,17.3M -35.7K,-35.7K
27,↑5,,corriere.it,News,17.2M +178.4K,+178.4K
28,↓13,,ndtv.com,News,17.1M -12M,-12M
29,↓5,,kompas.com,News,16.9M -2.6M,-2.6M
30,↑6,,cnnbrasil.com.br,News,16.6M -80K,-80K
31,↓2,,infobae.com,News,16.4M -1.3M,-1.3M
32,↑3,,lefigaro.fr,News,16.4M -329.5K,-329.5K
33,↓7,,thairath.co.th,News,16.3M -1.6M,-1.6M
34,↑15,,sondakika.com,News,16.3M +4.6M,+4.6M
35,↓8,,elmundo.es,News,16M -2M,-2M
36,↓3,,liputan6.com,News,15.8M -1.2M,-1.2M
37,↓3,,vnexpress.net,News,15M -1.7M,-1.7M
38,↑1,,aajtak.in,News,14M -533.4K,-533.4K
39,↓16,,news18.com,News,13.9M -6.2M,-6.2M
40,↑4,,ukr.net,News,13.7M +1.3M,+1.3M
41,↓1,,abril.com.br,News,13.6M -758.5K,-758.5K
42,↓1,,usnews.com,News,13.4M -535.7K,-535.7K
43,↓1,,tribunnews.com,News,13.2M +168.2K,+168.2K
44,↑4,,thesun.co.uk,News,12.8M +1M,+1M
45,↑12,,aljazeera.com,News,12.3M +1.4M,+1.4M
46,,,hindustantimes.com,News,11.8M -252.9K,-252.9K
47,↓4,,youm7.com,News,11.3M -1.7M,-1.7M
48,↑16,,haber7.com,News,11.2M +1.2M,+1.2M
49,↓2,,iltalehti.fi,News,11.1M -835.3K,-835.3K
50,↑10,,abplive.com,News,11.1M +605.2K,+605.2K
51,↑5,,libero.it,News,11M -40.3K,-40.3K
52,↑14,,aol.com,News,11M +1.2M,+1.2M
53,↓8,,elpais.com,News,10.8M -1.6M,-1.6M
54,↑1,,n-tv.de,News,10.7M -389K,-389K
55,↑6,,bhaskar.com,News,10.4M +7K,+7K
56,↓2,,nypost.com,News,10.4M -863.4K,-863.4K
57,↑12,,ndr.de,News,10.2M +789K,+789K
58,↓5,,haberturk.com,News,10.2M -1.3M,-1.3M
59,↑31,,com.in,News,9.8M +2M,+2M
60,↑5,,rbc.ru,News,9.8M -42.7K,-42.7K
61,↑31,,nbcnews.com,News,9.8M +2M,+2M
62,↓12,,spiegel.de,News,9.7M -2M,-2M
63,↓4,,repubblica.it,News,9.7M -879.8K,-879.8K
64,↑4,,t-online.de,News,9.6M +52.5K,+52.5K
65,↓13,,bfmtv.com,News,9.4M -2.2M,-2.2M
66,↑14,,20minutes.fr,News,9.3M +740.6K,+740.6K
67,,,reuters.com,News,9M -682.3K,-682.3K
68,↑72,,jagran.com,News,9M +3.7M,+3.7M
69,↑2,,tagesschau.de,News,8.8M -570K,-570K
70,↓8,,aftonbladet.se,News,8.8M -1.3M,-1.3M
71,↑3,,okdiario.com,News,8.7M -266.9K,-266.9K
72,↑23,,cbsnews.com,News,8.7M +1.1M,+1.1M
73,↓22,,indianexpress.com,News,8.6M -3M,-3M
74,↑35,,india.com,News,8.3M +2M,+2M
75,↑30,,sozcu.com.tr,News,8.3M +1.8M,+1.8M
76,↑10,,cnnturk.com,News,8.2M +143.2K,+143.2K
77,↑4,,asahi.com,News,8M -435.4K,-435.4K
78,↓6,,rambler.ru,News,8M -1.2M,-1.2M
79,↓1,,thehindu.com,News,8M -625.9K,-625.9K
80,↓7,,lemonde.fr,News,8M -1M,-1M
81,↑2,,expressen.se,News,8M -259K,-259K
82,↓6,,vietnamnet.vn,News,7.9M -1M,-1M
83,↑25,,ntv.com.tr,News,7.8M +1.4M,+1.4M
84,↓26,,estadao.com.br,News,7.8M -3M,-3M
85,↓6,,kapook.com,News,7.7M -929K,-929K
86,↑13,,ria.ru,News,7.7M +722.2K,+722.2K
87,↓3,,franceinfo.fr,News,7.4M -743.6K,-743.6K
88,↑10,,today.com,News,7.4M +289.3K,+289.3K
89,↓14,,idntimes.com,News,7.4M -1.6M,-1.6M
90,↓5,,abc.es,News,7.4M -737.8K,-737.8K
91,↑2,,ad.nl,News,7.3M -343.2K,-343.2K
92,↓10,,aktuality.sk,News,7.3M -1.2M,-1.2M
93,↓5,,blic.rs,News,7.2M -603.7K,-603.7K
94,↓17,,abc.net.au,News,7M -1.6M,-1.6M
95,↓32,,livehindustan.com,News,7M -3M,-3M
96,↑10,,lanacion.com.ar,News,7M +493.3K,+493.3K
97,↑3,,amarujala.com,News,7M +274.8K,+274.8K
98,↓4,,vg.no,News,7M -674K,-674K
99,↑13,,npr.org,News,7M +733.5K,+733.5K
100,↓4,,clarin.com,News,7M -381.3K,-381.3K
