Rank,,Website,Search traffic,
1,,yahoo.com,352.6M +32.5M,+32.5M
2,,globo.com,241.6M -21.5M,-21.5M
3,,nytimes.com,185M -6.5M,-6.5M
4,,bbc.co.uk,136.6M -30M,-30M
5,,bbc.com,123.7M -40M,-40M
6,↑2,hindustantimes.com,100.7M +20M,+20M
7,↓1,uol.com.br,95.6M -17.8M,-17.8M
8,↓1,detik.com,93.2M -17M,-17M
9,↑3,hurriyet.com.tr,57.2M +3M,+3M
10,↑4,interia.pl,54.4M +6.4M,+6.4M
11,↑14,indianexpress.com,52M +22M,+22M
12,↑3,conectate.com.do,51.3M +5.7M,+5.7M
13,↓2,cnn.com,48.5M -10.2M,-10.2M
14,↑2,msn.com,47.5M +2.7M,+2.7M
15,↓5,ndtv.com,43M -19.5M,-19.5M
16,↑2,milliyet.com.tr,39.8M -1.3M,-1.3M
17,↑3,theguardian.com,39.2M +102.5K,+102.5K
18,↑3,foxnews.com,37.6M +158.2K,+158.2K
19,↓2,kumparan.com,37.2M -6.4M,-6.4M
20,↓1,terra.com.br,36.2M -4.2M,-4.2M
21,↑1,cnnbrasil.com.br,35.6M -1.8M,-1.8M
22,↓13,news18.com,35.4M -30.4M,-30.4M
23,↓10,infobae.com,32.2M -19.4M,-19.4M
24,↓1,wp.pl,31M -857.9K,-857.9K
25,↑2,ouest-france.fr,29.6M +2M,+2M
26,↑14,nhk.or.jp,29.1M +8.6M,+8.6M
27,↓1,usatoday.com,28M -257.5K,-257.5K
28,↓4,kompas.com,27.4M -3.1M,-3.1M
29,↓1,bild.de,26.2M -115.9K,-115.9K
30,,liputan6.com,23.2M -1.7M,-1.7M
31,↑11,sabah.com.tr,22M +2M,+2M
32,↑1,dailymail.co.uk,21.5M -1.5M,-1.5M
33,↑3,livehindustan.com,21.2M +24.6K,+24.6K
34,↑13,amarujala.com,20.2M +1.6M,+1.6M
35,↑2,haberler.com,20M -850.8K,-850.8K
36,↑2,elmundo.es,19.9M -670.6K,-670.6K
37,↓6,lefigaro.fr,19.7M -4M,-4M
38,↑8,vnexpress.net,18.8M -37.4K,-37.4K
39,↑4,youm7.com,18.2M -1.6M,-1.6M
40,↑8,usnews.com,18M +230.2K,+230.2K
41,↓6,aajtak.in,18M -3.5M,-3.5M
42,↓8,corriere.it,17.8M -4M,-4M
43,↓14,thehindu.com,17.3M -8.7M,-8.7M
44,↓12,tempo.co,17.2M -6.4M,-6.4M
45,↑31,jagran.com,17M +4.2M,+4.2M
46,↑18,libero.it,16.3M +1.8M,+1.8M
47,↑28,cbsnews.com,16.2M +2.8M,+2.8M
48,↓3,baomoi.com,15.8M -3.5M,-3.5M
49,↑13,nypost.com,15.8M +1M,+1M
50,↓11,tribunnews.com,15.7M -4.8M,-4.8M
51,↑2,sondakika.com,15.5M -405.2K,-405.2K
52,↑21,thesun.co.uk,15.3M +1.8M,+1.8M
53,↓4,elpais.com,15M -2.4M,-2.4M
54,↑4,ukr.net,15M -322K,-322K
55,↑13,aol.com,14.9M +908.6K,+908.6K
56,↑1,thairath.co.th,14.9M -510.4K,-510.4K
57,↑15,cnnindonesia.com,14.8M +1M,+1M
58,↓8,india.com,14.5M -2.8M,-2.8M
59,↓5,lanacion.com.ar,14M -1.8M,-1.8M
60,↑5,haberturk.com,13.8M -465K,-465K
61,↓5,24h.com.vn,13.8M -1.6M,-1.6M
62,↓7,bfmtv.com,13.8M -2M,-2M
63,↓4,t-online.de,13.7M -1.5M,-1.5M
64,↑26,indiatoday.in,13.6M +2.8M,+2.8M
65,↓14,repubblica.it,13.5M -3.7M,-3.7M
66,↑5,nbcnews.com,13.4M -365.2K,-365.2K
67,↓15,abril.com.br,13.2M -3.3M,-3.3M
68,↓7,reuters.com,13M -2M,-2M
69,↑5,n-tv.de,12.8M -738.2K,-738.2K
70,↓10,tagesschau.de,12.7M -2.5M,-2.5M
71,↑22,abc.net.au,12.6M +2M,+2M
72,↓5,spiegel.de,12.5M -1.6M,-1.6M
73,↓32,aljazeera.com,12.4M -7.8M,-7.8M
74,↓30,abplive.com,12.2M -7.4M,-7.4M
75,↑7,kapook.com,12M +343.5K,+343.5K
76,↑10,iltalehti.fi,12M +890.2K,+890.2K
77,,lemonde.fr,12M -885K,-885K
78,↓9,jansatta.com,11.5M -2.3M,-2.3M
79,↓13,apnews.com,11.5M -2.8M,-2.8M
80,↓10,ntv.com.tr,11.4M -2.4M,-2.4M
81,↑14,sozcu.com.tr,11.3M +803.4K,+803.4K
82,↑3,lavanguardia.com,11.3M -169.6K,-169.6K
83,,ndr.de,11.3M -364.1K,-364.1K
84,↓21,bhaskar.com,11.2M -3.4M,-3.4M
85,↓5,independent.co.uk,11.2M -918.7K,-918.7K
86,↓7,clarin.com,11M -1M,-1M
87,↑4,idntimes.com,11M +227.7K,+227.7K
88,↑9,estadao.com.br,11M +555.5K,+555.5K
89,↓5,ensonhaber.com,10.5M -1M,-1M
90,↑4,npr.org,10.5M -125.2K,-125.2K
91,↓10,haber7.com,10.2M -1.8M,-1.8M
92,↑7,tvn24.pl,10.2M -30K,-30K
93,↓1,cnnturk.com,10M -666.7K,-666.7K
94,↑9,rambler.ru,9.9M +246.3K,+246.3K
95,↑132,firstpost.com,9.8M +6.2M,+6.2M
96,↓9,abc.es,9.8M -1M,-1M
97,↓1,rbc.ru,9.8M -707.9K,-707.9K
98,,okdiario.com,9.5M -899.5K,-899.5K
99,↑1,today.com,9.4M -769.7K,-769.7K
100,↑61,ambito.com,9.3M +3.5M,+3.5M
