Rank,,Website,,Search traffic,
1,,yahoo.com,,317M,−15M
2,↑1,yahoo.co.jp,,255M,+2.2M
3,↓1,globo.com,,244M,−46M
4,,nytimes.com,,192M,−17M
5,,bbc.co.uk,,168M,+17M
6,,bbc.com,,149M,+12M
7,↑2,uol.com.br,,112M,−9.0M
8,,detik.com,,110M,−11M
9,↓2,indiatimes.com,,89M,−37M
10,,hindustantimes.com,,60M,−22M
11,↑3,hurriyet.com.tr,,53M,−8.1M
12,↑18,cnn.com,,52M,+22M
13,↓1,ndtv.com,,50M,−30M
14,↑3,infobae.com,,49M,−1.2M
15,↑1,interia.pl,,46M,−4.3M
16,↑3,conectate.com.do,,45M,−1.7M
17,↑4,onet.pl,,45M,−333K
18,↓3,msn.com,,44M,−10M
19,↑26,news18.com,,43M,+20M
20,,kumparan.com,,43M,−3.4M
21,↑1,milliyet.com.tr,,41M,−3.0M
22,↓4,terra.com.br,,40M,−7.4M
23,↑4,foxnews.com,,35M,+3.3M
24,↑2,theguardian.com,,35M,+1.0M
25,↓1,cnnbrasil.com.br,,33M,−3.5M
26,↓1,wp.pl,,33M,−2.5M
27,↓4,kompas.com,,30M,−7.5M
28,↑1,ouest-france.fr,,26M,−3.9M
29,↓1,usatoday.com,,26M,−4.8M
30,↓19,indianexpress.com,,25M,−55M
31,↑6,bild.de,,25M,−689K
32,↑3,liputan6.com,,24M,−3.3M
33,↑9,sanook.com,,24M,+704K
34,↓21,thehindu.com,,24M,−43M
35,↑4,tempo.co,,23M,−1.2M
36,↑2,lefigaro.fr,,23M,−2.7M
37,↑6,dailymail.co.uk,,22M,−1.4M
38,↑3,dzen.ru,,21M,−3.0M
39,↑8,aajtak.in,,20M,−1.3M
40,↑16,haberler.com,,20M,+1.4M
41,↑3,abplive.com,,20M,−2.7M
42,↑9,elmundo.es,,20M,−585K
43,↓12,livehindustan.com,,20M,−9.2M
44,↓11,tribunnews.com,,20M,−8.5M
45,↑1,sabah.com.tr,,19M,−2.3M
46,↑8,corriere.it,,19M,−766K
47,↑11,nhk.or.jp,,19M,+642K
48,↑13,baomoi.com,,19M,+447K
49,↑3,vnexpress.net,,18M,−2.2M
50,↓14,youm7.com,,18M,−8.2M
51,↑6,usnews.com,,17M,−1.4M
52,↓3,amarujala.com,,17M,−4.5M
53,,24h.com.vn,,16M,−4.1M
54,↑14,ukr.net,,16M,+803K
55,↓7,india.com,,16M,−5.8M
56,↑8,lanacion.com.ar,,15M,−1.8M
57,↓2,thairath.co.th,,15M,−4.9M
58,↑16,elpais.com,,15M,+433K
59,↑18,sondakika.com,,15M,+592K
60,↑5,t-online.de,,14M,−2.4M
61,↑5,haberturk.com,,14M,−1.9M
62,,aljazeera.com,,14M,−3.7M
63,↓3,repubblica.it,,14M,−4.7M
64,↓1,bhaskar.com,,13M,−3.5M
65,↑2,nikkei.com,,13M,−2.2M
66,↑3,bfmtv.com,,13M,−1.4M
67,↑30,reuters.com,,13M,+2.5M
68,↑11,nypost.com,,13M,−595K
69,↑9,aol.com,,13M,−799K
70,↑19,tagesschau.de,,13M,+1.4M
71,↓21,ntv.com.tr,,13M,−7.7M
72,,cnnindonesia.com,,13M,−1.8M
73,↑23,haber7.com,,13M,+1.8M
74,↓4,nbcnews.com,,13M,−2.2M
75,↑9,thesun.co.uk,,13M,+3.7K
76,↑4,spiegel.de,,12M,−899K
77,↑4,n-tv.de,,12M,−736K
78,↓3,jagran.com,,12M,−2.1M
79,↑4,apnews.com,,12M,−718K
80,↓9,cbsnews.com,,12M,−2.8M
81,↑12,lemonde.fr,,12M,+347K
82,New,nu.nl,,12M,+5.8M
83,↓24,jansatta.com,,11M,−7.1M
84,↓11,kapook.com,,11M,−3.5M
85,↑10,rtve.es,,11M,+2.3K
86,New,clarin.com,,11M,+1.3M
87,↑1,ndr.de,,11M,−840K
88,↓6,lavanguardia.com,,11M,−2.0M
89,New,independent.co.uk,,11M,+1.5M
90,New,ensonhaber.com,,11M,+874K
91,↓51,business-standard.com,,11M,−13M
92,↓1,iltalehti.fi,,11M,−1.1M
93,New,rbc.ru,,10M,+328K
94,New,abc.es,,10M,−184K
95,↓61,indiatoday.in,,10M,−18M
96,↑3,buzzfeed.com,,10M,−1.0M
97,New,tvn24.pl,,10M,−686K
98,↓6,estadao.com.br,,10M,−2.0M
99,New,okdiario.com,,10M,+898K
100,↓2,sozcu.com.tr,,10M,−1.2M
