Date,Website,Disallowed Bot
2025-06-19,yahoo.co.jp,Google-Extended
2025-06-19,yahoo.co.jp,GPTBot
2025-06-19,globo.com,CCBot
2025-06-19,globo.com,GPTBot
2025-06-19,globo.com,Google-Extended
2025-06-19,nytimes.com,AliyunSecBot
2025-06-19,nytimes.com,Amazonbot
2025-06-19,nytimes.com,anthropic-ai
2025-06-19,nytimes.com,Applebot-Extended
2025-06-19,nytimes.com,AudigentAdBot
2025-06-19,nytimes.com,AwarioSmartBot
2025-06-19,nytimes.com,BLEXBot
2025-06-19,nytimes.com,Bytespider
2025-06-19,nytimes.com,CCBot
2025-06-19,nytimes.com,ChatGPT-User
2025-06-19,nytimes.com,ClaudeBot
2025-06-19,nytimes.com,Claude-Web
2025-06-19,nytimes.com,cohere-ai
2025-06-19,nytimes.com,DataForSeoBot
2025-06-19,nytimes.com,Diffbot
2025-06-19,nytimes.com,DuckAssistBot
2025-06-19,nytimes.com,EchoboxBot
2025-06-19,nytimes.com,FacebookBot
2025-06-19,nytimes.com,FriendlyCrawler
2025-06-19,nytimes.com,Google-CloudVertexBot
2025-06-19,nytimes.com,Google-Extended
2025-06-19,nytimes.com,GPTBot
2025-06-19,nytimes.com,ImagesiftBot
2025-06-19,nytimes.com,Jetslide
2025-06-19,nytimes.com,magpie-crawler
2025-06-19,nytimes.com,meta-externalagent
2025-06-19,nytimes.com,meta-externalfetcher
2025-06-19,nytimes.com,MyCentralAIScraperBot
2025-06-19,nytimes.com,NewsNow
2025-06-19,nytimes.com,news-please
2025-06-19,nytimes.com,OAI-SearchBot
2025-06-19,nytimes.com,omgili
2025-06-19,nytimes.com,omgilibot
2025-06-19,nytimes.com,peer39_crawler/1.0
2025-06-19,nytimes.com,PerplexityBot
2025-06-19,nytimes.com,Poseidon Research Crawler
2025-06-19,nytimes.com,quillbot.com
2025-06-19,nytimes.com,Quora-Bot
2025-06-19,nytimes.com,Scrapy
2025-06-19,nytimes.com,SeekrBot
2025-06-19,nytimes.com,SeznamHomepageCrawler
2025-06-19,nytimes.com,TaraGroup Intelligent Bot
2025-06-19,nytimes.com,Timpibot
2025-06-19,nytimes.com,TurnitinBot
2025-06-19,nytimes.com,ViennaTinyBot
2025-06-19,nytimes.com,YouBot
2025-06-19,detik.com,ChatGPT-User
2025-06-19,detik.com,CCBot
2025-06-19,detik.com,GPTBot
2025-06-19,uol.com.br,GPTBot
2025-06-19,uol.com.br,Google-Extended
2025-06-19,hurriyet.com.tr,GPTBot
2025-06-19,kumparan.com,GPTBot
2025-06-19,msn.com,Momentumbot
2025-06-19,milliyet.com.tr,GPTBot
2025-06-19,interia.pl,grapeshot
2025-06-19,kompas.com,GPTBot
2025-06-19,kompas.com,OpenAI
2025-06-19,kompas.com,ChatGPT-User
2025-06-19,kompas.com,CCBot
2025-06-19,kompas.com,anthropic-ai
2025-06-19,kompas.com,Claude-Web
2025-06-19,thehindu.com,YouBot
2025-06-19,wp.pl,GPTBot
2025-06-19,wp.pl,CCBot
2025-06-19,theguardian.com,NewsNow
2025-06-19,theguardian.com,CCBot
2025-06-19,theguardian.com,TurnitinBot
2025-06-19,theguardian.com,PetalBot
2025-06-19,theguardian.com,MoodleBot
2025-06-19,theguardian.com,FacebookBot
2025-06-19,theguardian.com,Bytespider
