Rank,,Website,,Search traffic,
1,,yahoo.com,,256M,−96M
2,↑1,yahoo.co.jp,,204M,−49M
3,↓1,globo.com,,184M,−80M
4,,nytimes.com,,172M,−43M
5,↑1,bbc.co.uk,,121M,−26M
6,↑2,detik.com,,106M,−23M
7,,uol.com.br,,100M,−46M
8,↑3,bbc.com,,99M,−13M
9,↑1,indiatimes.com,,85M,−29M
10,↑4,hurriyet.com.tr,,53M,−9.2M
11,↓6,hindustantimes.com,,47M,−103M
12,↓3,ndtv.com,,47M,−76M
13,↑5,kumparan.com,,45M,−2.1M
14,↑2,msn.com,,44M,−9.7M
15,↑2,milliyet.com.tr,,40M,−8.3M
16,↑3,infobae.com,,40M,−6.3M
17,↑5,interia.pl,,39M,−5.7M
18,↑9,onet.pl,,39M,+644K
19,↓7,indianexpress.com,,36M,−71M
20,↑5,terra.com.br,,34M,−5.6M
21,,kompas.com,,34M,−11M
22,↑2,conectate.com.do,,34M,−6.7M
23,↓10,thehindu.com,,32M,−47M
24,↑5,wp.pl,,30M,−4.9M
25,↑1,theguardian.com,,27M,−12M
26,↑10,liputan6.com,,27M,−1.3M
27,↑8,sanook.com,,25M,−3.1M
28,↑4,ouest-france.fr,,24M,−4.8M
29,↑16,liberation.fr,,24M,−694K
30,↓7,cnnbrasil.com.br,,24M,−19M
31,↑8,tribunnews.com,,24M,−3.1M
32,↓4,usatoday.com,,24M,−12M
33,↓18,cnn.com,,23M,−38M
34,↑3,tempo.co,,23M,−4.6M
35,↓5,foxnews.com,,21M,−12M
36,↑8,bild.de,,20M,−4.5M
37,↑9,lefigaro.fr,,20M,−3.6M
38,,livehindustan.com,,20M,−7.2M
39,↑4,sabah.com.tr,,20M,−4.8M
40,↑2,dailymail.co.uk,,19M,−5.7M
41,↑8,thairath.co.th,,19M,−1.5M
42,↑6,elmundo.es,,18M,−3.1M
43,↑15,aajtak.in,,17M,−904K
44,↓10,news18.com,,17M,−10M
45,↓12,youm7.com,,17M,−12M
46,↑4,vnexpress.net,,17M,−3.6M
47,,abplive.com,,17M,−4.2M
48,↓7,dzen.ru,,17M,−8.4M
49,↑8,usnews.com,,16M,−2.3M
50,↑13,ntv.com.tr,,16M,+213K
51,↑10,indiatoday.in,,16M,−1.8M
52,↑1,nhk.or.jp,,15M,−4.4M
53,↑12,haberturk.com,,15M,−912K
54,↑1,india.com,,15M,−4.1M
55,↓3,amarujala.com,,15M,−5.0M
56,↓5,24h.com.vn,,15M,−5.5M
57,↑2,corriere.it,,14M,−3.5M
58,↑9,kapook.com,,14M,−1.9M
59,↓3,lanacion.com.ar,,14M,−5.3M
60,↓29,business-standard.com,,14M,−18M
61,↑7,nikkei.com,,13M,−2.3M
62,,cnnindonesia.com,,13M,−4.0M
63,↑3,baomoi.com,,13M,−2.5M
64,↑25,bhaskar.com,,13M,+105K
65,↑6,ukr.net,,13M,−2.4M
66,↑12,t-online.de,,13M,−1.9M
67,↓13,haberler.com,,13M,−6.6M
68,↑1,elpais.com,,12M,−3.3M
69,↑7,sondakika.com,,12M,−2.6M
70,↓30,jansatta.com,,12M,−13M
71,↑3,aol.com,,12M,−2.9M
72,↑18,repubblica.it,,12M,−988K
73,↓13,jagran.com,,11M,−6.3M
74,↑11,lavanguardia.com,,11M,−1.8M
75,↑21,ndr.de,,11M,−574K
76,↓6,cbsnews.com,,11M,−4.6M
77,↑7,thesun.co.uk,,11M,−2.5M
78,↓6,bfmtv.com,,10M,−4.9M
79,↑15,spiegel.de,,10M,−2.0M
80,New,buzzfeed.com,,10M,−1.0M
81,↓6,nbcnews.com,,10M,−4.8M
82,↓18,nypost.com,,10M,−6.1M
83,New,ndtv.in,,9.8M,−566K
84,↑4,aljazeera.com,,9.7M,−3.7M
85,↑2,tagesschau.de,,9.7M,−3.9M
86,New,cnnturk.com,,9.6M,−1.5M
87,↓5,estadao.com.br,,9.6M,−4.5M
88,New,abc.es,,9.4M,−1.3M
89,↑2,n-tv.de,,9.4M,−3.6M
90,↑7,rtve.es,,9.3M,−2.9M
91,New,rambler.ru,,9.3M,−339K
92,↓15,apnews.com,,9.2M,−5.8M
93,↑5,lemonde.fr,,9.2M,−2.9M
94,New,abc.net.au,,9.2M,−814K
95,↓2,almasryalyoum.com,,9.2M,−3.6M
96,↑4,iltalehti.fi,,9.1M,−2.9M
97,↓5,clarin.com,,9.0M,−3.9M
98,↓18,reuters.com,,8.9M,−5.5M
99,New,haber7.com,,8.9M,−556K
100,New,antaranews.com,,8.8M,−539K
