Rank,,Website,,Search traffic,
1,↑1,globo.com,,268M,+44M
2,↓1,yahoo.co.jp,,236M,−17M
3,,nytimes.com,,210M,+9.4M
4,,bbc.co.uk,,150M,−8.8M
5,,detik.com,,142M,+11M
6,↑1,uol.com.br,,132M,+17M
7,↓1,bbc.com,,125M,−3.3M
8,,indiatimes.com,,111M,+1.8M
9,↑2,hurriyet.com.tr,,82M,+13M
10,↓1,hindustantimes.com,,81M,+4.3M
11,↑12,indianexpress.com,,75M,+31M
12,↑8,ndtv.com,,71M,+25M
13,,milliyet.com.tr,,69M,+13M
14,↑1,yahoo.com,,58M,+5.4M
15,↓3,kompas.com,,56M,−2.1M
16,,msn.com,,52M,+3.1M
17,↓3,cnn.com,,50M,−3.2M
18,,kumparan.com,,49M,+1.4M
19,↑5,news18.com,,49M,+6.4M
20,↓3,theguardian.com,,49M,−506K
21,↓11,infobae.com,,48M,−22M
22,↑7,sabah.com.tr,,47M,+8.7M
23,↓2,conectate.com.do,,41M,−2.8M
24,↑4,interia.pl,,40M,+1.1M
25,↓3,liputan6.com,,40M,−4.1M
26,↓1,wp.pl,,39M,−2.7M
27,↑5,sanook.com,,39M,+2.2M
28,↓2,tribunnews.com,,37M,−3.5M
29,↑4,onet.pl,,37M,+2.2M
30,↓11,usatoday.com,,36M,−11M
31,,foxnews.com,,36M,−2.0M
32,↑2,terra.com.br,,34M,+2.2M
33,↑11,haberturk.com,,34M,+8.2M
34,↑1,ouest-france.fr,,31M,−1.3M
35,↑5,dailymail.co.uk,,30M,+3.5M
36,↓6,cnnbrasil.com.br,,30M,−8.7M
37,↑12,amarujala.com,,29M,+4.5M
38,,youm7.com,,28M,+1.1M
39,↑27,thehindu.com,,27M,+7.8M
40,↑51,aljazeera.com,,27M,+14M
41,↓5,news.yahoo.com,,26M,−3.4M
42,↑42,jansatta.com,,26M,+12M
43,↓1,bild.de,,26M,−205K
44,↓3,abplive.com,,25M,−363K
45,↓2,aajtak.in,,25M,−696K
46,↓19,jagran.com,,25M,−14M
47,↑9,corriere.it,,25M,+2.7M
48,↑10,dzen.ru,,25M,+3.6M
49,↑5,cbsnews.com,,24M,+1.6M
50,↓5,lefigaro.fr,,24M,−1.1M
51,↑13,zdf.de,,24M,+3.7M
52,↑10,vnexpress.net,,23M,+3.0M
53,↓7,thairath.co.th,,23M,−1.7M
54,↑1,cnnindonesia.com,,23M,+905K
55,↓4,elmundo.es,,22M,−1.4M
56,↓19,india.com,,22M,−6.2M
57,↓4,usnews.com,,22M,−1.3M
58,↓8,apnews.com,,22M,−2.1M
59,↓20,livehindustan.com,,22M,−4.9M
60,↑10,tempo.co,,20M,+2.5M
61,↑21,nypost.com,,20M,+5.9M
62,↑18,tagesschau.de,,20M,+5.7M
63,↓4,lanacion.com.ar,,19M,−1.3M
64,↓7,baomoi.com,,19M,−2.4M
65,↓4,nhk.or.jp,,19M,−1.4M
66,↓18,nbcnews.com,,19M,−5.8M
67,↑11,business-standard.com,,18M,+3.9M
68,↓8,24h.com.vn,,18M,−2.5M
69,↓4,lavanguardia.com,,18M,−1.8M
70,↑3,ukr.net,,18M,+890K
71,↓3,elpais.com,,17M,−1.1M
72,↓20,ntv.com.tr,,16M,−7.5M
73,↑17,repubblica.it,,16M,+2.8M
74,↓5,bhaskar.com,,15M,−2.6M
75,↑10,t-online.de,,15M,+1.3M
76,↓9,kapook.com,,15M,−3.0M
77,↓1,spiegel.de,,15M,−318K
78,↓1,aol.com,,15M,+465K
79,↑7,bfmtv.com,,15M,+1.5M
80,↓5,reuters.com,,15M,−1.5M
81,↑2,tirto.id,,15M,+674K
82,↓3,tribuna.com,,15M,+312K
83,↓12,almasryalyoum.com,,14M,−3.0M
84,↓21,independent.co.uk,,14M,−6.0M
85,↓13,nikkei.com,,14M,−2.8M
86,New,mediaindonesia.com,,14M,+9.0M
87,,aljazeera.net,,14M,+551K
88,↑6,ndr.de,,14M,+1.2M
89,↑11,n-tv.de,,13M,+917K
90,↓9,thesun.co.uk,,13M,−1.6M
91,↑7,rbc.ru,,13M,+620K
92,↓18,rtve.es,,13M,−3.9M
93,↑6,clarin.com,,13M,+560K
94,New,indiatoday.in,,12M,+1.5M
95,↓2,iltalehti.fi,,12M,−582K
96,New,aftonbladet.se,,12M,+381K
97,New,lemonde.fr,,12M,−52K
98,New,udn.com,,12M,+828K
99,New,cnnturk.com,,12M,+640K
100,New,ndtv.in,,11M,+2.3M
