Date,Website,Disallowed Bot
2025-05-05,globo.com,CCBot
2025-05-05,globo.com,GPTBot
2025-05-05,globo.com,Google-Extended
2025-05-05,nytimes.com,Amazonbot
2025-05-05,nytimes.com,anthropic-ai
2025-05-05,nytimes.com,Applebot-Extended
2025-05-05,nytimes.com,AwarioSmartBot
2025-05-05,nytimes.com,Bytespider
2025-05-05,nytimes.com,CCBot
2025-05-05,nytimes.com,ChatGPT-User
2025-05-05,nytimes.com,ClaudeBot
2025-05-05,nytimes.com,Claude-Web
2025-05-05,nytimes.com,cohere-ai
2025-05-05,nytimes.com,DataForSeoBot
2025-05-05,nytimes.com,Diffbot
2025-05-05,nytimes.com,DuckAssistBot
2025-05-05,nytimes.com,FacebookBot
2025-05-05,nytimes.com,FriendlyCrawler
2025-05-05,nytimes.com,Google-CloudVertexBot
2025-05-05,nytimes.com,Google-Extended
2025-05-05,nytimes.com,GPTBot
2025-05-05,nytimes.com,ImagesiftBot
2025-05-05,nytimes.com,magpie-crawler
2025-05-05,nytimes.com,meta-externalagent
2025-05-05,nytimes.com,meta-externalfetcher
2025-05-05,nytimes.com,NewsNow
2025-05-05,nytimes.com,news-please
2025-05-05,nytimes.com,OAI-SearchBot
2025-05-05,nytimes.com,omgili
2025-05-05,nytimes.com,omgilibot
2025-05-05,nytimes.com,peer39_crawler/1.0
2025-05-05,nytimes.com,PerplexityBot
2025-05-05,nytimes.com,Quora-Bot
2025-05-05,nytimes.com,Scrapy
2025-05-05,nytimes.com,Timpibot
2025-05-05,nytimes.com,TurnitinBot
2025-05-05,nytimes.com,YouBot
2025-05-05,detik.com,ChatGPT-User
2025-05-05,detik.com,CCBot
2025-05-05,detik.com,GPTBot
2025-05-05,bbc.co.uk,magpie-crawler
2025-05-05,bbc.co.uk,CCBot
2025-05-05,bbc.co.uk,ClaudeBot
2025-05-05,bbc.co.uk,Claude-Web
2025-05-05,bbc.co.uk,anthropic-ai
2025-05-05,bbc.co.uk,cohere-ai
2025-05-05,bbc.co.uk,Bytespider
2025-05-05,bbc.co.uk,PetalBot
2025-05-05,bbc.co.uk,Scrapy
2025-05-05,bbc.co.uk,Applebot-Extended
2025-05-05,bbc.co.uk,GPTBot
2025-05-05,bbc.co.uk,ChatGPT-User
2025-05-05,bbc.co.uk,Google-Extended
2025-05-05,bbc.co.uk,Perplexity-User
2025-05-05,bbc.co.uk,Google-CloudVertexBot
2025-05-05,bbc.co.uk,meta-externalagent
2025-05-05,bbc.co.uk,OAI-SearchBot
2025-05-05,bbc.co.uk,YandexAdditional
2025-05-05,bbc.co.uk,YandexAdditionalBot
2025-05-05,bbc.com,magpie-crawler
2025-05-05,bbc.com,CCBot
2025-05-05,bbc.com,Claude-Web
2025-05-05,bbc.com,ClaudeBot
2025-05-05,bbc.com,anthropic-ai
2025-05-05,bbc.com,cohere-ai
2025-05-05,bbc.com,Bytespider
2025-05-05,bbc.com,PetalBot
