Rank,,Website,,Search traffic,
1,,globo.com,,272M,+11M
2,,yahoo.co.jp,,254M,+24M
3,,nytimes.com,,219M,+10M
4,↑1,detik.com,,173M,+33M
5,↓1,bbc.co.uk,,150M,+1.2M
6,↑1,bbc.com,,145M,+22M
7,↓1,uol.com.br,,136M,+6.2M
8,,indiatimes.com,,111M,+2.9M
9,↑3,ndtv.com,,99M,+28M
10,↓1,hurriyet.com.tr,,94M,+12M
11,↓1,hindustantimes.com,,77M,−3.7M
12,↑1,milliyet.com.tr,,62M,−6.4M
13,↑5,cnn.com,,62M,+12M
14,↑1,kompas.com,,61M,+7.4M
15,↓1,yahoo.com,,58M,+1.0M
16,↑5,infobae.com,,56M,+9.6M
17,↑5,kumparan.com,,56M,+9.6M
18,↓2,msn.com,,55M,+3.2M
19,,theguardian.com,,50M,+2.4M
20,↓9,indianexpress.com,,49M,−27M
21,↓1,sabah.com.tr,,49M,+1.8M
22,↑1,conectate.com.do,,45M,+4.2M
23,↑8,usatoday.com,,43M,+7.7M
24,↑4,onet.pl,,42M,+5.5M
25,↓1,interia.pl,,41M,+1.2M
26,↑11,cnnbrasil.com.br,,41M,+13M
27,↓2,wp.pl,,41M,+2.4M
28,↑2,foxnews.com,,41M,+5.1M
29,↑11,thehindu.com,,39M,+11M
30,↓13,news18.com,,35M,−14M
31,↓5,liputan6.com,,35M,−3.4M
32,↑2,ouest-france.fr,,35M,+4.3M
33,↓4,tribunnews.com,,34M,−2.7M
34,↓7,sanook.com,,33M,−5.2M
35,↓3,terra.com.br,,32M,−2.2M
36,↑8,abplive.com,,31M,+6.2M
37,↑24,tempo.co,,30M,+10M
38,↑16,cnnindonesia.com,,28M,+6.2M
39,↓4,dailymail.co.uk,,28M,−1.5M
40,↓7,haberturk.com,,27M,−6.6M
41,↓3,youm7.com,,27M,−881K
42,↑8,lefigaro.fr,,26M,+2.5M
43,↑15,livehindustan.com,,26M,+4.8M
44,↑2,dzen.ru,,26M,+1.7M
45,↓2,bild.de,,26M,+410K
46,↑2,aajtak.in,,25M,+1.4M
47,↓6,news.yahoo.com,,25M,−862K
48,↑7,elmundo.es,,24M,+2.1M
49,↑16,nhk.or.jp,,24M,+5.1M
50,↑17,nbcnews.com,,24M,+5.5M
51,↓6,corriere.it,,24M,−736K
52,↑1,thairath.co.th,,23M,+402K
53,↓2,zdf.de,,23M,−819K
54,↑18,ntv.com.tr,,23M,+6.7M
55,↑2,apnews.com,,23M,+996K
56,,india.com,,22M,+646K
57,↓5,vnexpress.net,,22M,−982K
58,↓9,cbsnews.com,,22M,−2.1M
59,↓23,amarujala.com,,22M,−6.6M
60,↓13,jagran.com,,22M,−2.5M
61,↑15,bhaskar.com,,20M,+5.5M
62,↓23,aljazeera.com,,20M,−6.8M
63,New,haberler.com,,20M,+10M
64,↓5,usnews.com,,20M,−1.5M
65,↓5,tagesschau.de,,20M,−245K
66,↑2,24h.com.vn,,19M,+1.4M
67,↓3,lanacion.com.ar,,19M,+209K
68,↓2,business-standard.com,,18M,−142K
69,New,thelogic.co,,18M,+18M
70,,ukr.net,,18M,+742K
71,↑3,kapook.com,,18M,+2.6M
72,↓9,baomoi.com,,18M,−1.6M
73,↓2,elpais.com,,17M,+619K
74,↑6,tirto.id,,17M,+2.7M
75,↑4,bfmtv.com,,17M,+1.7M
76,↓1,repubblica.it,,16M,+935K
77,↑12,n-tv.de,,16M,+2.8M
78,↑10,nikkei.com,,16M,+2.3M
79,↓10,lavanguardia.com,,15M,−2.2M
80,↓3,spiegel.de,,15M,+201K
81,↓8,t-online.de,,15M,−262K
82,New,estadao.com.br,,15M,+4.8M
83,↑11,indiatoday.in,,15M,+2.5M
84,↑3,aljazeera.net,,15M,+1.6M
85,↓23,nypost.com,,14M,−5.5M
86,↑10,lemonde.fr,,14M,+2.5M
87,↓45,jansatta.com,,14M,−11M
88,↓7,tribuna.com,,14M,−377K
89,↑6,iltalehti.fi,,14M,+2.1M
90,↓12,aol.com,,14M,−1.1M
91,↓9,reuters.com,,14M,−370K
92,↓8,independent.co.uk,,14M,−438K
93,New,cnnturk.com,,14M,+2.3M
94,New,timesnownews.com,,13M,+7.2M
95,↑5,ndtv.in,,13M,+2.0M
96,↓6,thesun.co.uk,,13M,+685K
97,↓11,ndr.de,,13M,−349K
98,↓7,rtve.es,,13M,+547K
99,↓1,francetvinfo.fr,,13M,+1.5M
100,↓7,clarin.com,,13M,+355K
