Rank,,Website,,Search traffic,
1,↑1,yahoo.co.jp,,245M,+20M
2,↓1,globo.com,,215M,−23M
3,,nytimes.com,,203M,+741K
4,,bbc.co.uk,,148M,+10M
5,,detik.com,,133M,−4.1M
6,↑3,bbc.com,,124M,+21M
7,↓1,uol.com.br,,109M,−3.0M
8,,indiatimes.com,,107M,+629K
9,↑2,hindustantimes.com,,77M,−1.9M
10,↑13,infobae.com,,71M,+29M
11,↑3,hurriyet.com.tr,,69M,+11M
12,,kompas.com,,59M,−4.4M
13,↑5,milliyet.com.tr,,56M,+10M
14,↑8,cnn.com,,53M,+11M
15,↑1,kumparan.com,,49M,+2.4M
16,↑11,msn.com,,48M,+9.2M
17,↓7,theguardian.com,,47M,−45M
18,↓1,yahoo.com,,46M,−219K
19,↑2,usatoday.com,,46M,+2.8M
20,↓7,ndtv.com,,45M,−13M
21,↓2,liputan6.com,,44M,−1.9M
22,↓2,conectate.com.do,,43M,−1.7M
23,↑2,wp.pl,,42M,+1.7M
24,↓17,news18.com,,41M,−68M
25,↑1,indianexpress.com,,41M,+1.9M
26,↓11,tribunnews.com,,41M,−8.0M
27,↑2,interia.pl,,39M,+4.0M
28,↑9,sabah.com.tr,,39M,+10M
29,↑14,jagran.com,,39M,+13M
30,↑4,foxnews.com,,38M,+8.6M
31,↓3,cnnbrasil.com.br,,37M,−376K
32,↓8,sanook.com,,36M,−4.5M
33,↓1,onet.pl,,33M,−182K
34,↑1,ouest-france.fr,,32M,+2.3M
35,↓5,terra.com.br,,31M,−3.7M
36,↑6,news.yahoo.com,,27M,+1.6M
37,↑9,youm7.com,,26M,+2.0M
38,↓2,livehindustan.com,,26M,−2.1M
39,↑2,dailymail.co.uk,,26M,−134K
40,↑10,aajtak.in,,25M,+3.3M
41,↓8,india.com,,25M,−5.6M
42,↑23,haberturk.com,,25M,+7.8M
43,↑13,haberler.com,,25M,+4.7M
44,,lefigaro.fr,,25M,+767K
45,↓7,thairath.co.th,,25M,−2.4M
46,↑26,nbcnews.com,,24M,+8.2M
47,,abplive.com,,24M,+283K
48,↑12,ntv.com.tr,,24M,+4.9M
49,↑24,apnews.com,,24M,+7.8M
50,↑5,usnews.com,,23M,+3.2M
51,↓6,amarujala.com,,23M,−654K
52,↓4,bild.de,,23M,+553K
53,↓13,cnnindonesia.com,,22M,−3.6M
54,↑7,cbsnews.com,,22M,+3.5M
55,↓16,elmundo.es,,22M,−4.8M
56,↑3,lanacion.com.ar,,21M,+2.2M
57,↓5,nhk.or.jp,,21M,+36K
58,↓7,baomoi.com,,21M,−457K
59,↑22,independent.co.uk,,19M,+5.9M
60,↑4,corriere.it,,19M,+1.2M
61,↑10,zdf.de,,19M,+2.8M
62,↓5,vnexpress.net,,19M,−1.0M
63,↓32,thehindu.com,,19M,−15M
64,↑12,nikkei.com,,19M,+3.4M
65,↓12,24h.com.vn,,18M,−2.6M
66,↑2,lavanguardia.com,,18M,+1.2M
67,↓4,tempo.co,,18M,−270K
68,↓1,elpais.com,,18M,+583K
69,↓11,kapook.com,,17M,−1.7M
70,↓1,almasryalyoum.com,,17M,+83K
71,↓17,dzen.ru,,17M,−4.2M
72,↑8,bhaskar.com,,16M,+2.8M
73,New,reuters.com,,16M,+7.1M
74,↓8,rtve.es,,16M,−1.5M
75,↓5,ukr.net,,15M,−1.1M
76,↑2,tribuna.com,,15M,+880K
77,↓28,business-standard.com,,15M,−7.7M
78,↑8,spiegel.de,,15M,+1.6M
79,↓4,tirto.id,,15M,−604K
80,↓3,aol.com,,14M,−456K
81,↑3,thesun.co.uk,,14M,+784K
82,↑9,tagesschau.de,,14M,+1.3M
83,↑6,jansatta.com,,14M,+884K
84,↑8,t-online.de,,13M,+1.1M
85,↑9,aljazeera.net,,13M,+1.2M
86,New,washingtonpost.com,,13M,+5.4M
87,,iltalehti.fi,,13M,−542K
88,New,repubblica.it,,12M,+2.0M
89,New,ndr.de,,12M,+1.4M
90,↑5,aljazeera.com,,12M,+545K
91,New,timesnowhindi.com,,12M,+4.8M
92,New,npr.org,,12M,+4.7M
93,New,texastribune.org,,12M,+11M
94,↓12,bfmtv.com,,12M,−1.2M
95,New,elcomercio.pe,,12M,+2.1M
96,↓6,clarin.com,,12M,−623K
97,,francetvinfo.fr,,12M,+514K
98,↓24,nypost.com,,12M,−3.5M
99,↓16,lemonde.fr,,12M,−1.6M
100,New,n-tv.de,,12M,+1.4M
