Rank,,Website,Search traffic,
1,,yahoo.com,328.4M +19.7M,+19.7M
2,,globo.com,217.8M -30.9M,-30.9M
3,,nytimes.com,164.7M -14.4M,-14.4M
4,↑1,bbc.co.uk,136.5M -3.7M,-3.7M
5,↓1,bbc.com,91.7M -48.7M,-48.7M
6,,uol.com.br,91.3M -9.6M,-9.6M
7,,detik.com,87.4M -1M,-1M
8,,hurriyet.com.tr,55M -2.5M,-2.5M
9,↑1,conectate.com.do,44.6M -5.3M,-5.3M
10,↓1,interia.pl,44.5M -10M,-10M
11,↑3,milliyet.com.tr,41.2M +3.2M,+3.2M
12,↓1,cnn.com,36.9M -7.4M,-7.4M
13,↑3,kumparan.com,35.4M -1M,-1M
14,↓2,msn.com,34.7M -6.3M,-6.3M
15,↑4,foxnews.com,31.4M +938.8K,+938.8K
16,↓1,theguardian.com,29.5M -8M,-8M
17,↑4,usatoday.com,28.9M +657K,+657K
18,↓1,infobae.com,28.3M -4.2M,-4.2M
19,↑3,bild.de,25.3M -3M,-3M
20,↑8,sabah.com.tr,24.2M +763.2K,+763.2K
21,↑5,kompas.com,24.1M -788.2K,-788.2K
22,↑1,ouest-france.fr,23.6M -3.7M,-3.7M
23,↑7,wp.pl,22.9M +220K,+220K
24,↓4,terra.com.br,22.5M -7M,-7M
25,↑22,jagran.com,22.4M +7.4M,+7.4M
26,↓13,cnnbrasil.com.br,22.4M -16.3M,-16.3M
27,↑2,baomoi.com,21M -2.4M,-2.4M
28,↑4,vnexpress.net,19.9M -634K,-634K
29,↑2,liputan6.com,19M -2M,-2M
30,↓6,hindustantimes.com,18.9M -7M,-7M
31,↑4,lefigaro.fr,18.8M +927.1K,+927.1K
32,↓14,ndtv.com,18.4M -12.8M,-12.8M
33,↑6,haberler.com,16.5M -750.7K,-750.7K
34,↑3,24h.com.vn,16.5M -920.2K,-920.2K
35,↑8,elmundo.es,16.5M -556.5K,-556.5K
36,↓2,thairath.co.th,16M -2M,-2M
37,↑9,indianexpress.com,16M +629.1K,+629.1K
38,↑4,corriere.it,16M -1.2M,-1.2M
39,↑1,usnews.com,15.8M -1.5M,-1.5M
40,↓7,nhk.or.jp,15.6M -4M,-4M
41,↑7,tribunnews.com,15.3M +505K,+505K
42,↑7,ukr.net,15M +205.5K,+205.5K
43,↓2,livehindustan.com,14.1M -3.1M,-3.1M
44,↑1,news18.com,14M -2M,-2M
45,↑5,elpais.com,13.7M -516.8K,-516.8K
46,↓2,dailymail.co.uk,12.8M -3.7M,-3.7M
47,↑8,aol.com,12.8M -852K,-852K
48,↓21,abril.com.br,12.7M -11.4M,-11.4M
49,↑31,libero.it,12.6M +2.3M,+2.3M
50,↓25,spiegel.de,12.6M -12.7M,-12.7M
51,↑14,t-online.de,12.3M -140.4K,-140.4K
52,↑18,bhaskar.com,12.2M +434.3K,+434.3K
53,,nypost.com,12.2M -1.7M,-1.7M
54,↑3,cbsnews.com,12M -1.3M,-1.3M
55,↑1,aajtak.in,12M -1.5M,-1.5M
56,↑2,kapook.com,12M -1.4M,-1.4M
57,↑14,lanacion.com.ar,12M +247.6K,+247.6K
58,↑3,haberturk.com,12M -1.2M,-1.2M
59,↓5,nbcnews.com,11.9M -1.8M,-1.8M
60,,n-tv.de,11.7M -1.4M,-1.4M
61,↑44,jansatta.com,11.6M +3.4M,+3.4M
62,↑4,india.com,11.6M -532.4K,-532.4K
63,↓25,youm7.com,11.6M -5.8M,-5.8M
64,↑4,iltalehti.fi,11.5M -299.4K,-299.4K
65,↑33,tirto.id,11.4M +2.7M,+2.7M
66,↓14,thesun.co.uk,11.4M -2.7M,-2.7M
67,↑2,sondakika.com,11.3M -537.6K,-537.6K
68,↓9,thehindu.com,11.2M -2M,-2M
69,↓5,idntimes.com,10.8M -1.7M,-1.7M
70,↑2,aljazeera.com,10.7M -869.7K,-869.7K
71,↓8,bfmtv.com,10.7M -2M,-2M
72,↓5,amarujala.com,10.7M -1.2M,-1.2M
73,↓37,haber7.com,10.5M -7.3M,-7.3M
74,↓12,lavanguardia.com,10.5M -2.7M,-2.7M
75,↑82,thanhnien.vn,10.3M +5M,+5M
76,↑1,cnnindonesia.com,10.2M -589.5K,-589.5K
77,↓1,ndr.de,10.2M -839.2K,-839.2K
78,↑17,ensonhaber.com,10M +773.9K,+773.9K
79,↓6,tempo.co,9.7M -1.9M,-1.9M
80,↑1,abplive.com,9.6M -674.6K,-674.6K
81,↓7,abc.net.au,9.6M -2M,-2M
82,,cnnturk.com,9.2M -988.9K,-988.9K
83,↓32,repubblica.it,9M -5M,-5M
84,↑17,blic.rs,9M +575.1K,+575.1K
85,↑12,lemonde.fr,8.6M -377.7K,-377.7K
86,↑8,clarin.com,8.6M -649.7K,-649.7K
87,↑15,reuters.com,8.5M +185.1K,+185.1K
88,↑21,ndtv.in,8.4M +461.5K,+461.5K
89,↓5,sozcu.com.tr,8.3M -1.8M,-1.8M
90,↑1,npr.org,8.3M -1M,-1M
91,↑15,20minutes.fr,8.3M +16.6K,+16.6K
92,,abc.es,8.2M -1.1M,-1.1M
93,↑32,kurir.rs,8.1M +1.3M,+1.3M
94,↓5,ntv.com.tr,8M -1.4M,-1.4M
95,↓12,tagesschau.de,8M -2.2M,-2.2M
96,↓9,rbc.ru,7.9M -1.7M,-1.7M
97,↓12,rambler.ru,7.8M -2M,-2M
98,↑12,sindonews.com,7.6M -245.4K,-245.4K
99,↑13,ynet.co.il,7.6M -234.4K,-234.4K
100,↓14,franceinfo.fr,7.6M -2.2M,-2.2M
