Date,Website,Disallowed Bot
2025-09-15,yahoo.com,ADmantX
2025-09-15,yahoo.com,AlphaBot
2025-09-15,yahoo.com,anthropic-ai
2025-09-15,yahoo.com,AwarioRssBot
2025-09-15,yahoo.com,AwarioSmartBot
2025-09-15,yahoo.com,BLEXBot
2025-09-15,yahoo.com,Buzzbot
2025-09-15,yahoo.com,Bytespider
2025-09-15,yahoo.com,CCBot
2025-09-15,yahoo.com,ChatGPT-User
2025-09-15,yahoo.com,claritybot
2025-09-15,yahoo.com,Claude-Web
2025-09-15,yahoo.com,ClaudeBot
2025-09-15,yahoo.com,cohere-ai
2025-09-15,yahoo.com,Diffbot
2025-09-15,yahoo.com,FacebookBot
2025-09-15,yahoo.com,FriendlyCrawler
2025-09-15,yahoo.com,Google-Extended
2025-09-15,yahoo.com,GPTBot
2025-09-15,yahoo.com,huggingface
2025-09-15,yahoo.com,ImagesiftBot
2025-09-15,yahoo.com,img2dataset
2025-09-15,yahoo.com,magpie-crawler
2025-09-15,yahoo.com,Meltwater
2025-09-15,yahoo.com,Neevabot
2025-09-15,yahoo.com,news-please
2025-09-15,yahoo.com,NewsNow
2025-09-15,yahoo.com,Nutch
2025-09-15,yahoo.com,omgili
2025-09-15,yahoo.com,omgilibot
2025-09-15,yahoo.com,panscient.com
2025-09-15,yahoo.com,Perplexity-ai
2025-09-15,yahoo.com,PerplexityBot
2025-09-15,yahoo.com,PetalBot
2025-09-15,yahoo.com,PiplBot
2025-09-15,yahoo.com,scoop.it
2025-09-15,yahoo.com,Scrapy
2025-09-15,yahoo.com,Seekr
2025-09-15,yahoo.com,SentiBot
2025-09-15,yahoo.com,SeznamBot
2025-09-15,yahoo.com,TurnitinBot
2025-09-15,yahoo.com,YouBot
2025-09-15,yahoo.com,ZumBot
2025-09-15,globo.com,CCBot
2025-09-15,globo.com,GPTBot
2025-09-15,globo.com,Google-Extended
2025-09-15,nytimes.com,AliyunSecBot
2025-09-15,nytimes.com,Amazonbot
2025-09-15,nytimes.com,anthropic-ai
2025-09-15,nytimes.com,Applebot-Extended
2025-09-15,nytimes.com,AudigentAdBot
2025-09-15,nytimes.com,AwarioSmartBot
2025-09-15,nytimes.com,BLEXBot
2025-09-15,nytimes.com,Bytespider
2025-09-15,nytimes.com,CCBot
2025-09-15,nytimes.com,ChatGPT-User
2025-09-15,nytimes.com,ClaudeBot
2025-09-15,nytimes.com,Claude-SearchBot
2025-09-15,nytimes.com,Claude-User
2025-09-15,nytimes.com,Claude-Web
2025-09-15,nytimes.com,cohere-ai
