Rank,,Website,Search traffic,
1,,yahoo.com,320.5M -39.1M,-39.1M
2,,globo.com,276.4M +13.8M,+13.8M
3,,nytimes.com,183.5M -3.3M,-3.3M
4,↑1,bbc.com,155.1M +24.6M,+24.6M
5,↓1,bbc.co.uk,133.3M -14.7M,-14.7M
6,↑1,uol.com.br,101M -536.1K,-536.1K
7,↑1,detik.com,92.2M -1.5M,-1.5M
8,↑3,hurriyet.com.tr,58.3M +1.2M,+1.2M
9,↑1,interia.pl,55M -3.3M,-3.3M
10,↑2,conectate.com.do,48.7M -3M,-3M
11,↑4,ndtv.com,46.2M -1.7M,-1.7M
12,↑8,cnnbrasil.com.br,44.6M +5.6M,+5.6M
13,↑1,msn.com,42.8M -6M,-6M
14,↓1,cnn.com,41.8M -7.2M,-7.2M
15,↑1,theguardian.com,39.5M -1.7M,-1.7M
16,↑3,milliyet.com.tr,39.3M -775.3K,-775.3K
17,↑5,kumparan.com,38M +738.4K,+738.4K
18,↓12,hindustantimes.com,35.4M -86M,-86M
19,↑4,infobae.com,34.4M +853.5K,+853.5K
20,↑1,foxnews.com,31M -6.9M,-6.9M
21,↑3,wp.pl,30.8M -925.6K,-925.6K
22,↓4,terra.com.br,30.3M -10M,-10M
23,↑5,bild.de,28.3M +706K,+706K
24,↑1,ouest-france.fr,28.2M -1.8M,-1.8M
25,↑2,usatoday.com,28M -1.1M,-1.1M
26,↑3,kompas.com,26.2M -1.3M,-1.3M
27,↑43,spiegel.de,25.9M +12.5M,+12.5M
28,↑39,abril.com.br,24.3M +10.2M,+10.2M
29,↑3,sabah.com.tr,22.9M +455.4K,+455.4K
30,↑17,baomoi.com,22M +4.7M,+4.7M
31,↓1,liputan6.com,21.7M -1.5M,-1.5M
32,↓6,nhk.or.jp,21M -9M,-9M
33,↑5,vnexpress.net,19.8M -92.6K,-92.6K
34,↓3,livehindustan.com,18.9M -3.8M,-3.8M
35,↓1,dailymail.co.uk,18.7M -3.6M,-3.6M
36,↓27,indianexpress.com,18.5M -42.8M,-42.8M
37,↓20,news18.com,18.2M -22.9M,-22.9M
38,↓3,lefigaro.fr,18M -2.3M,-2.3M
39,↑5,usnews.com,17.6M -883.5K,-883.5K
40,↓3,elmundo.es,17.5M -2.4M,-2.4M
41,↓5,haberler.com,17.3M -2.7M,-2.7M
42,↑1,jagran.com,16.9M -1.8M,-1.8M
43,↓1,corriere.it,16.5M -2.3M,-2.3M
44,↓4,youm7.com,16M -3.2M,-3.2M
45,↑16,thairath.co.th,15.7M +1M,+1M
46,↓7,aajtak.in,15.5M -3.8M,-3.8M
47,↑3,tribunnews.com,15.4M -339.3K,-339.3K
48,↓7,thehindu.com,15.3M -3.7M,-3.7M
49,↑7,elpais.com,15M -152.9K,-152.9K
50,↑9,24h.com.vn,14.8M -37.4K,-37.4K
51,↑1,ukr.net,14.7M -804.8K,-804.8K
52,↑43,haber7.com,14.7M +4.5M,+4.5M
53,↑13,repubblica.it,14.6M +329K,+329K
54,,aol.com,14M -1.4M,-1.4M
55,↓7,nypost.com,13.8M -3.4M,-3.4M
56,↓23,amarujala.com,13.8M -8.6M,-8.6M
57,↓8,thesun.co.uk,13.6M -2.6M,-2.6M
58,↑11,haberturk.com,13.6M -455K,-455K
59,↑18,kapook.com,13.2M +907.2K,+907.2K
60,↑12,n-tv.de,13.1M -134.1K,-134.1K
61,↑28,idntimes.com,13M +1.9M,+1.9M
62,↑25,lavanguardia.com,12.6M +1.3M,+1.3M
63,,bfmtv.com,12.6M -1.8M,-1.8M
64,↓6,nbcnews.com,12.4M -2.6M,-2.6M
65,↓20,cbsnews.com,12.4M -5.2M,-5.2M
66,↓6,t-online.de,12.4M -2.3M,-2.3M
67,↑6,aljazeera.com,12.2M -923.7K,-923.7K
68,↓4,lanacion.com.ar,12.2M -2.2M,-2.2M
69,↓18,india.com,12M -3.5M,-3.5M
70,↓24,tempo.co,12M -5.4M,-5.4M
71,↑10,iltalehti.fi,12M -191.4K,-191.4K
72,↑14,ndr.de,11.8M +257.6K,+257.6K
73,↓20,sondakika.com,11.8M -3.7M,-3.7M
74,↓3,tagesschau.de,11.6M -1.7M,-1.7M
75,↑9,estadao.com.br,11.6M -46.9K,-46.9K
76,↓8,abc.net.au,11.5M -2.6M,-2.6M
77,↓20,cnnindonesia.com,11.4M -3.7M,-3.7M
78,↓23,libero.it,11M -4.4M,-4.4M
79,,bhaskar.com,11M -1.2M,-1.2M
80,↓6,jansatta.com,10.9M -2.1M,-2.1M
81,↑15,cnnturk.com,10.8M +909K,+909K
82,↓7,abplive.com,10.8M -2.1M,-2.1M
83,↓3,lemonde.fr,10.7M -1.4M,-1.4M
84,↑17,franceinfo.fr,10.3M +822.4K,+822.4K
85,↑6,tvn24.pl,10.2M -516.4K,-516.4K
86,↓1,independent.co.uk,10.1M -1.4M,-1.4M
87,↑11,ndtv.in,10M +271.9K,+271.9K
88,,ntv.com.tr,10M -1.3M,-1.3M
89,↑46,clicrbs.com.br,10M +2.7M,+2.7M
90,↑4,rbc.ru,9.6M -669.8K,-669.8K
91,↑1,rambler.ru,9.5M -1M,-1M
92,↑5,abc.es,9.2M -652.8K,-652.8K
93,↓28,reuters.com,9.2M -5M,-5M
94,↑58,cronista.com,9.2M +3M,+3M
95,↑11,tirto.id,9.2M -138K,-138K
96,↓18,sozcu.com.tr,9.1M -3.1M,-3.1M
97,↓4,ensonhaber.com,9M -1.4M,-1.4M
98,↓8,npr.org,9M -1.8M,-1.8M
99,↑1,today.com,9M -675.4K,-675.4K
100,↓18,clarin.com,8.9M -3M,-3M
